pattern	sbml_type	annotation_type	qualifier	resource	name
#model					
^diauxic	model	rdf	BQB_IS_VERSION_OF	go/GO:0006007	glucose catabolic process
					
					
					
# unit					
^h$	unit	rdf	BQB_IS	uo/UO:0000032	hour
^m$	unit	rdf	BQB_IS	uo/UO:0000008	meter
^m2$	unit	rdf	BQB_IS	uo/UO:0000080	square meter
					
					
# compartment					
cell	compartment	rdf	BQB_IS	sbo/SBO:0000290	physical compartment
cell	compartment	rdf	BQB_IS	go/GO:0005623	cell
cell	compartment	rdf	BQB_IS	fma/FMA:68646	cell
					
# species					
Glcxt	species	rdf	BQB_IS	sbo/SBO:0000247	simple chemical
Glcxt	species	rdf	BQB_IS	chebi/CHEBI:4167	D-glucopyranose
Glcxt	species	rdf	BQB_IS	kegg.compound/C00031	D-Glucose
Glcxt	species	formula		C6H12O6	
Glcxt	species	charge		0	
					
Ac	species	rdf	BQB_IS	sbo/SBO:0000247	simple chemical
Ac	species	rdf	BQB_IS	chebi/CHEBI:15366	acetic acid
Ac	species	rdf	BQB_IS	kegg.compound/C00033	Acetate
Ac	species	formula		C2H4O2	
Ac	species	charge		0	
					
O2	species	rdf	BQB_IS	sbo/SBO:0000247	simple chemical
O2	species	rdf	BQB_IS	chebi/CHEBI:15379	dioxygen
O2	species	rdf	BQB_IS	kegg.compound/C00007	Oxygen
O2	species	formula		O2	
O2	species	charge		0	
					
X	species	rdf	BQB_IS	omim/MI:0018723	simple chemical
					
# parameters					
					
					
					
# reactions					
^v[1,2,3,4]$	reaction	rdf	BQB_IS	sbo/SBO:0000176	biochemical reaction
^v[1,2,3,4]$	reaction	rdf	BQB_IS	sbo/SBO:0000629	biomass production
					
					
					
					
# rules					
