pattern	sbml_type	annotation_type	qualifier	collection	entity	name
#model						
	document	RDF	BQM_IS	sbo	SBO:0000293	non-spatial continuous framework
^demo_\d+$	model	RDF	BQM_IS	go	GO:0008152	metabolic process
						
# compartment						
e	compartment	RDF	BQB_IS	sbo	SBO:0000290	physical compartment
e	compartment	RDF	BQB_IS	go	GO:0005615	extracellular space
e	compartment	RDF	BQB_IS	fma	FMA:70022	extracellular space
						
m	compartment	RDF	BQB_IS	sbo	SBO:0000290	physical compartment
m	compartment	RDF	BQB_IS	go	GO:0005886	plasma membrane
m	compartment	RDF	BQB_IS	fma	FMA:63841	plasma membrane
						
c	compartment	RDF	BQB_IS	sbo	SBO:0000290	physical compartment
c	compartment	RDF	BQB_IS	go	GO:0005623	cell
c	compartment	RDF	BQB_IS	fma	FMA:68646	cell
						
# parameters						
^Km_\w+$	parameter	RDF	BQB_IS	sbo	SBO:0000027	Michaelis constant
^Keq_\w+$	parameter	RDF	BQB_IS	sbo	SBO:0000281	equilibrium constant
^Vmax_\w+$	parameter	RDF	BQB_IS	sbo	SBO:0000186	maximal velocity
						
# species						
^\w{1}__A$	species	RDF	BQB_IS	sbo	SBO:0000247	simple chemical
^\w{1}__B$	species	RDF	BQB_IS	sbo	SBO:0000247	simple chemical
^\w{1}__C$	species	RDF	BQB_IS	sbo	SBO:0000247	simple chemical
^\w{1}__\w+$	species	Formula			C6H12O6	
^\w{1}__\w+$	species	Charge			0	
# reactions						
^b\w{1}$	reaction	RDF	BQB_IS	sbo	SBO:0000185	transport reaction
^v\w{1}$	reaction	RDF	BQB_IS	sbo	SBO:0000176	biochemical reaction
