pattern	sbml_type	annotation_type	qualifier	collection	entity	name
#model						
^toy_atp_	model	RDF	BQB_IS_VERSION_OF	pw	PW:0000640	glycolysis pathway
^toy_atp_	model	RDF	BQB_IS_VERSION_OF	kegg.pathway	map00010	Glycolysis / gluconeogenesis
^toy_atp_	model	RDF	BQB_IS_VERSION_OF	go	GO:0006007	glucose catabolic process
						
# unit						
^h$	unit	RDF	BQB_IS	uo	UO:0000032	hour
^kg$	unit	RDF	BQB_IS	uo	UO:0000009	kilogram
^m$	unit	RDF	BQB_IS	uo	UO:0000008	meter
^m2$	unit	RDF	BQB_IS	uo	UO:0000080	square meter
^m3$	unit	RDF	BQB_IS	uo	UO:0000096	cubic meter
^mM$	unit	RDF	BQB_IS	uo	UO:0000063	millimolar
						
						
# compartment						
cell	compartment	RDF	BQB_IS	sbo	SBO:0000290	physical compartment
cell	compartment	RDF	BQB_IS	go	GO:0005623	cell
cell	compartment	RDF	BQB_IS	fma	FMA:68646	cell
						
# species						
glc	species	RDF	BQB_IS	sbo	SBO:0000247	simple chemical
glc	species	RDF	BQB_IS	chebi	CHEBI:4167	D-glucopyranose
glc	species	RDF	BQB_IS	kegg.compound	C00031	D-Glucose
glc	species	Formula			C6H12O6	
glc	species	Charge			0	
						
fru16bp	species	RDF	BQB_IS	sbo	SBO:0000247	simple chemical
fru16bp	species	RDF	BQB_IS	chebi	CHEBI:37736	D-fructofuranose 1,6-bisphosphate
fru16bp	species	RDF	BQB_IS	kegg.compound	C00354	D-Fructose 1,6-bisphosphate
fru16bp	species	Formula			C6H14O12P2	
fru16bp	species	Charge			0	
						
pg2	species	RDF	BQB_IS	sbo	SBO:0000247	simple chemical
pg2	species	RDF	BQB_IS	chebi	CHEBI:17835	2-phospho-D-glyceric acid
pg2	species	RDF	BQB_IS	kegg.compound	C00631	2-Phospho-D-glycerate
pg2	species	Formula			C3H7O7P	
pg2	species	Charge			0	
						
pyr	species	RDF	BQB_IS	sbo	SBO:0000247	simple chemical
pyr	species	RDF	BQB_IS	chebi	CHEBI:32816	pyruvic acid
pyr	species	RDF	BQB_IS	kegg.compound	C00022	Pyruvate
pyr	species	Formula			C3H4O3	
pyr	species	Charge			0	
						
atp	species	RDF	BQB_IS	sbo	SBO:0000247	simple chemical
atp	species	RDF	BQB_IS	chebi	CHEBI:30616	ATP(4-)
atp	species	RDF	BQB_IS_VERSION_OF	kegg.compound	C00002	ATP
atp	species	Formula			C10H12N5O13P3	
atp	species	Charge			-4	
						
adp	species	RDF	BQB_IS	sbo	SBO:0000247	simple chemical
adp	species	RDF	BQB_IS	chebi	CHEBI:456216	ADP(3-)
adp	species	RDF	BQB_IS_VERSION_OF	kegg.compound	C00008	ADP
adp	species	Formula			C10H12N5O10P2	
adp	species	Charge			-3	
						
# parameters						
Vmax_RATP	parameter	RDF	BQB_IS	sbo	SBO:0000025	catalytic rate constant
k_RATP	parameter	RDF	BQB_IS	sbo	SBO:0000027	Michaelis constant
						
# reactions						
^R\d+$	reaction	RDF	BQB_IS	sbo	SBO:0000176	biochemical reaction
^R\d+$	reaction	RDF	BQB_IS	go	GO:0006007	glucose catabolic process
						
RATP	reaction	RDF	BQB_IS	sbo	SBO:0000176	biochemical reaction
RATP	reaction	RDF	BQB_IS	go	GO:0046034	ATP metabolic process
						
# rules						
atp_tot	rule	RDF	BQB_IS	sbo	SBO:0000362	concentration conservation law
c3_tot	rule	RDF	BQB_IS	sbo	SBO:0000362	concentration conservation law
