	compartments	constraints	events	events_delay	events_event_assignments	events_math	events_priority	events_trigger	function_definitions	initial_assignments	kinetic_laws	kinetic_laws_math	level_version	math	parameters	parameters_local	reactions	rules	rules_algebraic_rules	rules_assignment_rules	rules_rate_rules	species	unit_definitions	release	date	status
MODEL0995500644	1	0	0	0	0	0	0	0	0	0	13	13	L2V1	13	0	41	13	0	0	0	0	12	0	R06	2006-10-03	non_curated
MODEL5662324959	2	0	0	0	0	0	0	0	0	0	690	690	L2V1	690	0	2760	690	0	0	0	0	628	1	R06	2006-10-03	non_curated
MODEL5662377562	2	0	0	0	0	0	0	0	0	0	690	690	L2V1	690	0	2760	690	0	0	0	0	628	1	R06	2006-10-03	non_curated
MODEL5662398146	2	0	0	0	0	0	0	0	0	0	690	690	L2V1	690	0	2760	690	0	0	0	0	628	1	R06	2006-10-03	non_curated
MODEL5662425708	2	0	0	0	0	0	0	0	0	0	690	690	L2V1	690	0	2760	690	0	0	0	0	628	1	R06	2006-10-03	non_curated
MODEL5974712823	2	0	0	0	0	0	0	0	0	0	6	6	L2V1	6	5	0	6	0	0	0	0	10	5	R06	2006-10-03	non_curated
MODEL6623597435	1	0	0	0	0	0	0	0	0	0	3	3	L2V1	3	0	4	3	0	0	0	0	5	0	R06	2006-10-03	non_curated
MODEL6623610941	1	0	0	0	0	0	0	0	0	0	8	8	L2V1	8	0	18	8	0	0	0	0	8	0	R06	2006-10-03	non_curated
MODEL6623617994	1	0	0	0	0	0	0	0	0	0	16	16	L2V1	16	0	85	16	0	0	0	0	22	0	R06	2006-10-03	non_curated
MODEL6623628741	1	0	0	0	0	0	0	0	0	0	4	4	L2V1	4	0	16	4	0	0	0	0	10	0	R06	2006-10-03	non_curated
MODEL6624091635	1	0	0	0	0	0	0	0	0	0	29	29	L2V1	29	0	151	29	0	0	0	0	34	0	R06	2006-10-03	non_curated
MODEL6624139162	1	0	0	0	0	0	0	0	0	0	2	2	L2V1	2	0	18	2	0	0	0	0	3	0	R06	2006-10-03	non_curated
MODEL6624199343	1	0	0	0	0	0	0	0	0	0	3	3	L2V1	3	0	13	3	0	0	0	0	5	0	R06	2006-10-03	non_curated
MODEL6762427183	1	0	0	0	0	0	0	0	0	0	0	0	L2V1	23	37	0	0	23	0	18	5	0	10	R06	2006-10-03	non_curated
MODEL7944007619	3	0	1	1	1	3	0	1	0	0	111	111	L2V1	114	0	197	111	0	0	0	0	108	0	R06	2006-10-03	non_curated
MODEL8293171637	1	0	0	0	0	0	0	0	0	0	19	19	L2V1	19	0	87	19	0	0	0	0	25	2	R06	2006-10-03	non_curated
MODEL8568434338	1	0	0	0	0	0	0	0	0	0	0	0	L2V1	0	0	0	219	0	0	0	0	225	0	R06	2006-10-03	non_curated
MODEL8583955822	1	0	0	0	0	0	0	0	0	0	11	11	L2V1	11	0	49	11	0	0	0	0	12	3	R06	2006-10-03	non_curated
MODEL8584137422	1	0	0	0	0	0	0	0	0	0	11	11	L2V1	11	0	49	11	0	0	0	0	12	3	R06	2006-10-03	non_curated
MODEL8584292730	1	0	0	0	0	0	0	0	0	0	15	15	L2V1	15	0	70	15	0	0	0	0	13	3	R06	2006-10-03	non_curated
MODEL8584468482	1	0	0	0	0	0	0	0	0	0	14	14	L2V1	14	0	66	14	0	0	0	0	13	3	R06	2006-10-03	non_curated
MODEL8938094216	1	0	0	0	0	0	0	0	0	0	16	16	L2V1	18	16	0	16	2	0	2	0	15	1	R06	2006-10-03	non_curated
MODEL9200487367	1	0	0	0	0	0	0	0	0	0	8	8	L2V1	13	9	8	8	5	0	4	1	5	0	R06	2006-10-03	non_curated
MODEL9468910329	1	0	0	0	0	0	0	0	0	0	7	7	L2V1	7	0	8	7	0	0	0	0	7	1	R06	2006-10-03	non_curated
