pattern	sbml_type	annotation_type	qualifier	resource	name
#model					
	document	rdf	BQM_IS	sbo/SBO:0000293	non-spatial continuous framework
^tiny_example_\d+$	model	rdf	BQM_IS	go/GO:0008152	metabolic process
^tiny_example_\d+$	model	rdf	BQB_HAS_TAXON	taxonomy/9606	Homo sapiens (Human)
# compartment					
c	compartment	rdf	BQB_IS	sbo/SBO:0000290	physical compartment
c	compartment	rdf	BQB_IS	go/GO:0005623	cell
c	compartment	rdf	BQB_IS	fma/FMA:68646	cell
					
# parameters					
^Km_\w+$	parameter	rdf	BQB_IS	sbo/SBO:0000027	Michaelis constant
^Vmax_\w+$	parameter	rdf	BQB_IS	sbo/SBO:0000186	maximal velocity
					
# species					
glc	species	rdf	BQB_IS	sbo/SBO:0000247	simple chemical
glc	species	rdf	BQB_IS	chebi/CHEBI:4167	D-glucopyranose
glc	species	rdf	BQB_IS	kegg.compound/C00031	D-Glucose
glc	species	formula		C6H12O6	
glc	species	charge		0	
g6p	species	rdf	BQB_IS	sbo/SBO:0000247	simple chemical
g6p	species	rdf	BQB_IS	chebi/CHEBI:58225	alpha-D-glucose 6-phosphate(2-)
g6p	species	rdf	BQB_IS_VERSION_OF	kegg.compound/C00668	alpha-D-Glucose 6-phosphate
g6p	species	formula		C6H11O9P	
g6p	species	charge		-2	
atp	species	rdf	BQB_IS	sbo/SBO:0000247	simple chemical
atp	species	rdf	BQB_IS	chebi/CHEBI:30616	ATP(4-)
atp	species	rdf	BQB_IS_VERSION_OF	kegg.compound/C00002	ATP
atp	species	formula		C10H12N5O13P3	
atp	species	charge		-4	
adp	species	rdf	BQB_IS	sbo/SBO:0000247	simple chemical
adp	species	rdf	BQB_IS	chebi/CHEBI:456216	ADP(3-)
adp	species	rdf	BQB_IS_VERSION_OF	kegg.compound/C00008	ADP
adp	species	formula		C10H12N5O10P2	
adp	species	charge		-3	
hydron	species	rdf	BQB_IS	sbo/SBO:0000247	simple chemical
hydron	species	rdf	BQB_IS	chebi/CHEBI:15378	hydron
hydron	species	rdf	BQB_IS	kegg.compound/C00080	H+
hydron	species	formula		H	
hydron	species	charge		+1	
phos	species	rdf	BQB_IS	sbo/SBO:0000247	simple chemical
phos	species	rdf	BQB_IS	chebi/CHEBI:43474	hydrogenphosphate
phos	species	rdf	BQB_IS_VERSION_OF	kegg.compound/C00009	
phos	species	formula		HO4P	
phos	species	charge		-2	
h2o	species	rdf	BQB_IS	sbo/SBO:0000247	simple chemical
h2o	species	rdf	BQB_IS	chebi/CHEBI:15377	water
h2o	species	rdf	BQB_IS_VERSION_OF	kegg.compound/C00001	
h2o	species	formula		H2O	
h2o	species	charge		0	
					
# reactions					
GK	reaction	rdf	BQB_IS	sbo/SBO:0000176	biochemical reaction
GK	reaction	rdf	BQB_IS_VERSION_OF	ec-code/2.7.1.2	
GK	reaction	rdf	BQB_IS_VERSION_OF	uniprot/P35557	
GK	reaction	rdf	BQB_IS_VERSION_OF	kegg.reaction/R01092	
GK	reaction	rdf	BQB_IS_VERSION_OF	rhea/36495	
					
ATPASE	reaction	rdf	BQB_IS	sbo/SBO:0000176	biochemical reaction
